species,year,val
Accipiter soloensis,1971,5.68284273147583
Accipiter trivirgatus,1971,7.10422277450562
Accipiter virgatus,1971,5.82170915603638
Acridotheres cristatellus,1971,6.10581064224243
Acridotheres tristis,1971,5.25687980651856
Acrocephalus agricola,1971,3.83511447906494
Acrocephalus bistrigiceps,1971,3.71997213363647
Acrocephalus concinens,1971,5.36508512496948
Acrocephalus orientalis,1971,3.81634545326233
Acrocephalus tangorum,1971,3.07851505279541
Aegithalos bonvaloti,1971,3.95801377296448
Aegithalos caudatus,1971,2.65329027175903
Aegithalos concinnus,1971,6.0083818435669
Aegithalos fuliginosus,1971,4.5587329864502
Aerodramus brevirostris,1971,5.44665765762329
Aethopyga christinae,1971,8.02781295776367
Aethopyga gouldiae,1971,4.7956337928772
Agropsar sturninus,1971,3.26187539100647
Aix galericulata,1971,2.9986879825592
Alauda gulgula,1971,4.38778686523438
Alaudala cheleensis,1971,3.32247757911682
Alcedo hercules,1971,6.87928867340088
Alcippe morrisonia,1971,6.11921167373657
Amaurornis phoenicurus,1971,6.02489852905273
Anastomus oscitans,1971,6.00662851333618
Anser anser,1971,2.7644624710083
Anser fabalis,1971,2.07965135574341
Anser indicus,1971,2.33839750289917
Anthus godlewskii,1971,2.37689828872681
Anthus gustavi,1971,2.81235504150391
Anthus richardi,1971,4.14783906936646
Anthus roseatus,1971,2.94817590713501
Anthus trivialis,1971,2.61816549301147
Aquila fasciata,1971,6.85062742233276
Aquila heliaca,1971,2.34688115119934
Ardea intermedia,1971,6.25633811950684
Ardea purpurea,1971,5.46773958206177
Ardenna pacifica,1971,7.41128158569336
Artamus fuscus,1971,7.04323101043701
Asio flammeus,1971,2.31195878982544
Athene noctua,1971,3.01266241073608
Aviceda jerdoni,1971,7.15601968765259
Aviceda leuphotes,1971,6.01677799224854
Aythya fuligula,1971,2.33884191513062
Aythya nyroca,1971,2.9835307598114
Bombycilla japonica,1971,1.50669395923615
Branta canadensis,1971,3.86800289154053
Bubo nipalensis,1971,4.85786247253418
Bucanetes mongolicus,1971,3.36499762535095
Butastur indicus,1971,3.0914363861084
Cacomantis merulinus,1971,6.76713371276856
Calandrella brachydactyla,1971,3.49459624290466
Calliope obscura,1971,4.24679183959961
