unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
150207,0.0130975738876308,183,Inner Mongolia,九原区,内蒙古自治区,10
150221,0.0139190070215615,183,Inner Mongolia,土默特右旗,内蒙古自治区,5
150222,0.00708178196607587,183,Inner Mongolia,固阳县,内蒙古自治区,87
150223,0.0094913577541136,183,Inner Mongolia,达尔罕茂明安联合旗,内蒙古自治区,49
150302,0.0130304632143227,183,Inner Mongolia,海勃湾区,内蒙古自治区,11
150303,0.0101664023106011,183,Inner Mongolia,海南区,内蒙古自治区,43
150304,0.00766646844190031,183,Inner Mongolia,乌达区,内蒙古自治区,76
150402,0.00627729733865909,183,Inner Mongolia,红山区,内蒙古自治区,96
150403,0.00782664660556346,183,Inner Mongolia,元宝山区,内蒙古自治区,75
150404,0.00669386034984723,183,Inner Mongolia,松山区,内蒙古自治区,90
150421,0.0122762020474378,183,Inner Mongolia,阿鲁科尔沁旗,内蒙古自治区,18
150422,0.0104770069938607,183,Inner Mongolia,巴林左旗,内蒙古自治区,36
150423,0.0133694443207128,183,Inner Mongolia,巴林右旗,内蒙古自治区,7
150424,0.00627602709847901,183,Inner Mongolia,林西县,内蒙古自治区,97
150425,0.0132128177002993,183,Inner Mongolia,克什克腾旗,内蒙古自治区,9
150426,0.00928157711949055,183,Inner Mongolia,翁牛特旗,内蒙古自治区,54
150428,0.00746153858925677,183,Inner Mongolia,喀喇沁旗,内蒙古自治区,84
150429,0.0106481487845581,183,Inner Mongolia,宁城县,内蒙古自治区,34
150430,0.0100047040765664,183,Inner Mongolia,敖汉旗,内蒙古自治区,47
150502,0.0104090656872526,183,Inner Mongolia,科尔沁区,内蒙古自治区,38
150521,0.00742917608729422,183,Inner Mongolia,科尔沁左翼中旗,内蒙古自治区,85
150522,0.0103728031217279,183,Inner Mongolia,科尔沁左翼后旗,内蒙古自治区,39
150523,0.00707920722106549,183,Inner Mongolia,开鲁县,内蒙古自治区,88
150524,0.00762232623369911,183,Inner Mongolia,库伦旗,内蒙古自治区,79
150525,0.00661075214029022,183,Inner Mongolia,奈曼旗,内蒙古自治区,92
150526,0.0110474847284838,183,Inner Mongolia,扎鲁特旗,内蒙古自治区,30
150581,0.00487561816078747,183,Inner Mongolia,霍林郭勒市,内蒙古自治区,101
150602,0.00947889661827989,183,Inner Mongolia,东胜区,内蒙古自治区,50
150603,0.00821824689362568,183,Inner Mongolia,康巴什区,内蒙古自治区,69
150621,0.0104111623989995,183,Inner Mongolia,达拉特旗,内蒙古自治区,37
150622,0.00929724413620982,183,Inner Mongolia,准格尔旗,内蒙古自治区,52
150623,0.0121397214445841,183,Inner Mongolia,鄂托克前旗,内蒙古自治区,19
150624,0.013352801920342,183,Inner Mongolia,鄂托克旗,内蒙古自治区,8
150625,0.0109783547835147,183,Inner Mongolia,杭锦旗,内蒙古自治区,31
150626,0.0134010984893494,183,Inner Mongolia,乌审旗,内蒙古自治区,6
150627,0.0110862698882432,183,Inner Mongolia,伊金霍洛旗,内蒙古自治区,29
150702,0.00891958871386956,183,Inner Mongolia,海拉尔区,内蒙古自治区,57
150703,0.008970805433036,183,Inner Mongolia,扎赉诺尔区,内蒙古自治区,56
150721,0.008536280075186,183,Inner Mongolia,阿荣旗,内蒙古自治区,66
150722,0.00762294044944476,183,Inner Mongolia,莫力达瓦达斡尔族自治旗,内蒙古自治区,78
150723,0.0121327396587057,183,Inner Mongolia,鄂伦春自治旗,内蒙古自治区,20
150724,0.0113714380988447,183,Inner Mongolia,鄂温克族自治旗,内蒙古自治区,27
150725,0.0083830072886918,183,Inner Mongolia,陈巴尔虎旗,内蒙古自治区,68
150726,0.0118034405489735,183,Inner Mongolia,新巴尔虎左旗,内蒙古自治区,25
150727,0.0120671886299082,183,Inner Mongolia,新巴尔虎右旗,内蒙古自治区,21
150781,0.00872832463604428,183,Inner Mongolia,满洲里市,内蒙古自治区,61
150782,0.0102576459363925,183,Inner Mongolia,牙克石市,内蒙古自治区,41
150783,0.0100703244952114,183,Inner Mongolia,扎兰屯市,内蒙古自治区,46
150784,0.0124375447906309,183,Inner Mongolia,额尔古纳市,内蒙古自治区,16
150785,0.0120501719301076,183,Inner Mongolia,根河市,内蒙古自治区,22
150802,0.0101680494677353,183,Inner Mongolia,临河区,内蒙古自治区,42
150821,0.00766273837096783,183,Inner Mongolia,五原县,内蒙古自治区,77
150822,0.0151251796109028,183,Inner Mongolia,磴口县,内蒙古自治区,4
150823,0.0129437876278256,183,Inner Mongolia,乌拉特前旗,内蒙古自治区,12
150824,0.0092860852122873,183,Inner Mongolia,乌拉特中旗,内蒙古自治区,53
150825,0.012744016384803,183,Inner Mongolia,乌拉特后旗,内蒙古自治区,13
