grid_id,province,warm_trend_dec,warm_delta_c,tmean_1980_2000,tmean_2002_2024
320,Yunnan,0.298693457925116,0.716839201208474,15.3730161587397,16.0898553599482
321,Yunnan,0.306126461879276,0.755296698926317,15.3932542554916,16.1485509544179
322,Yunnan,0.281236282607469,0.713664623027508,17.3595241137913,18.0731887368188
323,Yunnan,0.275406245605224,0.696325087070136,16.1380955075461,16.8344205946162
324,Yunnan,0.331598618127927,0.765182955541473,12.8753970265388,13.6405799820803
325,Yunnan,0.319488368879351,0.732729470589973,12.7194446798355,13.4521741504255
326,Yunnan,0.313416797050951,0.722170520725539,13.3492065743795,14.071377095105
327,Guizhou,0.305994712840479,0.745876417726054,13.2849209497845,14.0307973675106
328,Guizhou,0.131554683546879,0.289233960062164,13.832143098589,14.1213770586511
329,Guizhou,0.154435675448894,0.306418234681653,15.1011907779981,15.4076090126798
330,Guizhou,0.158157682570648,0.317011791480011,15.1876986651194,15.5047104565994
331,Guizhou,0.166611767359664,0.347498260464148,15.2412701059902,15.5887683664543
332,Guizhou,0.130588487085145,0.245721175701062,15.2825399429079,15.528261118609
333,Guizhou,0.127876578478841,0.227726000580315,15.0603177623143,15.2880437628946
334,Guizhou,0.133014935828322,0.230020718544907,16.021428840501,16.2514495590459
335,Guizhou,0.143675882380731,0.255279477914501,15.1726193333429,15.4278988112574
336,Guizhou,0.234398318164225,0.581987561235106,17.2238098515405,17.8057974127756
337,Guangxi,0.240799318765096,0.538975157188165,17.5726193435608,18.111594500749
338,Guangxi,0.228304792560397,0.569340939765311,17.1984129472384,17.7677538870038
339,Guangxi,0.260144944404582,0.577001418591866,16.0186510104982,16.59565242909
340,Guangxi,0.226624924439215,0.437560332940322,17.1888892045097,17.62644953745
341,Hunan,0.234343415532764,0.458730116064917,17.2162701411853,17.6750002572502
342,Hunan,0.275713663929431,0.64320222409204,17.5615082033097,18.2047104274017
343,Hunan,0.259310526574553,0.504313353384834,18.1420637842209,18.6463771376057
344,Hunan,0.266743521471531,0.514579014501713,17.8698415557543,18.3844205702561
345,Hunan,0.275592887851822,0.572532810409619,17.3075399569103,17.8800727673199
346,Jiangxi,0.280412837241269,0.548826808843879,15.996825651517,16.5456524603609
347,Jiangxi,0.284332422033233,0.558868130377196,17.4730161787972,18.0318843091744
348,Jiangxi,0.228590284463969,0.454658476215464,19.6297621443158,20.0844206205313
349,Jiangxi,0.318368425639407,0.727777699341516,19.0805558893416,19.8083335886831
350,Jiangxi,0.273616597848239,0.636507953669465,19.3801589977174,20.0166669513868
